序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260923714929,283069796,游戏全能菜b小马同学,3,男,三角洲纯绿跑刀，不动仓库任何东西，9:100，可直播跑！,2025-05-02 17:07:31,0,1,两年计划终于起航！,未知,否,https://i2.hdslb.com/bfs/face/855328b9eff80f61aafd09286570fbad23359da3.jpg,Joy
2,0,261618705312,44094147,卟久AfraidLose,6,保密,野排遇到俩人，玩了两局，开挂的不封，你封我？ ID：布酒i  可查,2025-04-30 01:56:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e28fb4c0c8f558634624cdf7e9365bcf4617c190.jpg,Anger
3,0,260583202593,3546388075907277,衰神shift,4,男,@小破站还我名字啊   坏了看成财神剑了,2025-04-28 12:59:52,0,0,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,未知,否,https://i0.hdslb.com/bfs/face/439255360bfe0eac9d3102d9709a298375ddb18d.jpg,Neutral
4,0,261197312688,3494359311846113,大方的三角洲李四哥,5,保密,我那个玄武摸都没摸到，不知道以后的蛇年还能不能再返场？,2025-04-24 15:56:03,0,0,你们好，我以后就是你们的好朋友了，以后可以互相帮助,未知,否,https://i2.hdslb.com/bfs/face/4add3acfc930fcd07d06ea5e10a3a377314141c2.jpg,Regret
5,0,260096750641,1712794573,B站外挂无敌,3,保密,要不然怎么说官方玩梗最为致命呢？[doge_金箍][笑哭],2025-04-22 06:13:03,0,0,,未知,否,https://i1.hdslb.com/bfs/face/69afa268bba59deaf54cf3fa434f9bb3cbe57bed.jpg,Joy
6,0,260432978736,43818314,4667643437657676,5,男,我建了一个三角洲的微信群 已经有几十个人了，谁想加，没事的时候可以一起打游戏，就当交朋友了 扣一包回 [呲牙],2025-04-15 08:05:32,0,0,,未知,否,https://i2.hdslb.com/bfs/face/57f792cf726ade2bf2cf9398a61c5a17c2c72511.jpg,Neutral
7,0,259449090609,352211597,传奇耐Q王杰克love,6,男,想过年了,2025-04-13 19:03:12,0,3,,未知,是,https://i2.hdslb.com/bfs/face/331de46152c5ebf0e2e30c16353a2e875e5ef9cf.jpg,Neutral
8,0,259208681329,4876764,莲黎一,6,女,出自己的小号纯币九千万，咸鱼可搜莲一万诺,2025-04-11 01:06:48,0,0,gone is dead,未知,是,https://i0.hdslb.com/bfs/face/bca945bd1e0f4ad7b4f79fbc0de1a30177a038de.jpg,Neutral
9,0,259237943632,3546831290108215,12岁老爷爷后空翻下楼,3,保密,鳄鱼可爱捏,2025-04-01 04:30:08,0,0,,未知,否,https://i1.hdslb.com/bfs/face/1f8fa2214556c42a00742649cdbaab81e868b378.jpg,Neutral
10,0,258349801569,3546791173688066,仁王士,2,保密,竟然还有这么多人在看,2025-03-31 10:50:08,0,0,抽奖号，关注一下也让你抽到爽。动动你的小手指就能发大财。,未知,否,https://i2.hdslb.com/bfs/face/0720b7cfc735927ebbc089095a0f73f3e8641616.jpg,Neutral
11,0,258331332081,455434152,一只野鸽儿灬,5,保密,"纯绿玩代肝，零成本跑刀
10r : 150w
15r : 250w
20r : 350w
大战场也可以代肝段位，只限统帅以下
需要私
我想吃！！饭！！！",2025-03-31 06:16:35,0,0,"三角洲纯绿玩代肝，零成本跑刀
需要私
我也想赚生活费啊！！",未知,否,https://i0.hdslb.com/bfs/face/862878052b150a3a0803de8fd00caffabb6c0314.jpg,Neutral
12,0,258987942560,382327708,52958154950_bili,2,保密,求结尾壁纸,2025-03-29 07:09:58,0,0,,未知,否,http://i1.hdslb.com/bfs/face/1151fa7251c378b9d36f491ad2062d4b78404192.jpg,Neutral
13,0,257946938753,1694475950,CB俱乐部,5,男,我们打手有实力，价格亲民（可以还价），保证物超所值，点我主页查看详情，欢迎各位板子前来体验。[打call][打call][打call],2025-03-26 13:01:07,0,1,"V: 13661275244
Q: 632644963",未知,否,https://i2.hdslb.com/bfs/face/82912b602af76acafe5deb1b32b331a59d199da9.jpg,Neutral
14,0,258724896400,3546851846392005,玩我的世界的MC这个闹,3,保密,可惜啊，活动已经结束了,2025-03-26 04:30:08,0,0,一个傻了吧唧的新人UP主,未知,否,https://i0.hdslb.com/bfs/face/01c83b679f92904a422bbdffde73fa901cb19d2a.jpg,Sadness
15,0,258314016992,415119715,Wqsssssssss,6,男,"借个楼[doge]
纯绿跑刀
扫码上号

7R100W哈夫币
30R500W哈夫币
50R1000W哈夫币
部门任务
1-2级 50
2-3级 150
3-4级 300
全4级1000 包损耗
全程有保障，不动仓库物资，战备钱也会保，有特殊要求提前说明
需要的私聊",2025-03-21 07:16:47,0,0,包的,未知,是,https://i1.hdslb.com/bfs/face/d8618f7dc99551118315d0242cbb8aff7ed9c803.jpg,Neutral
16,0,258236689776,1571219012,纯爱战神卫宫士郎,5,保密,顶级好活，希望干员们游戏里少些烦恼，收获更多快乐[打call][打call][打call],2025-03-20 08:03:00,0,2,蓝玫瑰花的花语,未知,否,https://i2.hdslb.com/bfs/face/97f044d02668da91bfb348fadedce918ed336c78.jpg,Joy
17,0,258109196880,1195544140,是阿魍呀,4,保密,雷斯和老太打牌,2025-03-18 13:48:16,0,1,,未知,否,https://i1.hdslb.com/bfs/face/fa108c542c82b6c9e26d3a81397fc8a049b12113.jpg,Neutral
18,0,256667447793,3546703036680779,火渡爷,4,男,我要发到所有视频底下                                    大战场刚提的载具没落在指定位置，一扭头让别人开走了(҂ ꒦ິヮ꒦ິ)，S1赛季下半玩到现在，第一次叫载具啊啊啊啊啊，我快疯了，为什么不规定被叫载具只能让叫的人开啊[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭],2025-03-10 11:50:16,0,1,,未知,否,https://i2.hdslb.com/bfs/face/496fad4571baba03727c57003157eeefd51a7251.jpg,Sadness
19,0,256574867393,248625996,LXUEERね,6,男,什么时候出红狼和露娜的金皮,2025-03-09 07:58:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/58b76dd562ae020e831dce249c674242cd4bb0b2.jpg,Expectation
20,0,256425784753,391736767,本帐号已销毁,3,保密,三！角！洲！为什么应用宝下载要87GB！！！！！！！！！！！！！！！！！！！！！！！！,2025-03-07 12:18:08,0,0,,未知,否,https://i1.hdslb.com/bfs/face/899b143d84b06957436ab4c9164071814e47fc3f.jpg,Anger
21,0,256222964289,255538879,Da1K4,5,保密,"纯纯大学生代跑，走咸鱼
8  ＝100
16＝200
40＝500
80＝1000w
纯绿色跑刀安全可靠，",2025-03-04 21:35:32,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8c4fd53dfa7fe96fe8319ef287b12c65dbc8f05f.jpg,Neutral
22,0,256145921137,386005496,予君奉丹心,6,男,什么时候改一下ads装置？烬区守方根本打不了一点，对面一个坦克在守方非战斗区域工程导弹打不到突击人过不去直接无敌了？这就是你游的平衡？,2025-03-03 20:54:07,0,0,在？进来看我被锤！在线下饭,未知,是,https://i2.hdslb.com/bfs/face/a5f96dfa1854dad229957e1e89474b682feda1c0.jpg,Anger
23,0,256767781648,1033852130,飞行の黄鹂鸟,4,保密,每天一遍！（第37天）,2025-03-02 07:51:28,0,0,……,未知,否,https://i2.hdslb.com/bfs/face/eb5ee31f2f59ef3d36a7f96d23f60b8398286b59.jpg,Neutral
24,0,256764733888,3546847790499977,5大城市大约,2,保密,66666666666666666666666,2025-03-02 07:12:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
25,0,256702026992,662261820,-小-笼-包-,3,男,三角洲无缘无故封我，望周知,2025-03-01 13:38:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/76a089668b6b848f54605265fc537fe906298fb7.jpg,Anger
26,0,256675805392,3546566507890932,玖夜ct第二版本,4,保密,@玖夜Lni,2025-03-01 08:46:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9a72e03c11389853bcdedaca283090e7bc2e60d9.jpg,Neutral
27,0,256672344416,1507014404,疯树烨,5,男,官方，我玩三角洲时，在巴别塔顶楼出了个复苏机，然后不小心被打死，让我队友捡，结果因为名牌不够，没撤离，能不能给我补回来呀[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭],2025-03-01 08:01:21,0,0,"
",未知,否,https://i2.hdslb.com/bfs/face/0b7d0d39509b8d494527fd724314552c5c569a72.jpg,Sadness
28,0,256644498320,702253130,沫因情圆缺,5,保密,绝密巴克什一把匹一个小时你有什么头绪吗,2025-03-01 02:22:38,0,0,"世界本身不黑不白
又为何执着于绝对极端的对错",未知,是,https://i2.hdslb.com/bfs/face/a5e00c779d2fde7d794319d5f18b0cc59067bc17.jpg,Neutral
29,0,255894153889,1556738077,大雨落雁然,6,保密,播放量已最高,2025-03-01 00:52:46,0,0,杂食玩家,未知,否,https://i1.hdslb.com/bfs/face/f6e6fd98ae49e166238acb0802d6f9b1523075c8.jpg,Neutral
30,0,255714540753,514367763,哈夫克士-兵,4,保密,能不能调高大大战场曼德尔砖爆率,2025-02-26 15:48:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0f6a64104f7fc0c22ecee52b69b076a328fc7d7e.jpg,Regret
31,0,255590791057,3546619947518771,英文童话故事机,3,保密,这音乐儿，那可真是地道，不带掺水的！,2025-02-25 05:00:09,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg,Joy
32,0,255588086609,3494365196454457,指尖的霓虹,5,保密,大战场到底能不能给空投载具上个锁？我好不容易召唤一个就让别人抢了去送？我给他们打的分呀,2025-02-25 04:25:30,0,0,,未知,否,https://i1.hdslb.com/bfs/face/101791ff86cec53a7cdf7194bb8009edd322b97d.jpg,Anger
33,0,256136339792,3546713828624429,特别喜欢小蔡,2,保密,喷火兵变烟花兵,2025-02-22 23:44:08,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Disgust
34,0,256081464320,3461577015560234,牢大-------,3,保密,"牢赛：为什么你们能打牌我要挨打😡😡😡
威虫*3：掉进陷阱了！🤓🤓🤓",2025-02-22 08:48:39,0,0,谁说牢大过时了？,未知,否,https://i2.hdslb.com/bfs/face/f6861e4b8afba036cea0bdaa67a1069f31c7d618.jpg,Anger
35,0,255310732753,3546611227560491,T-E-X-P,4,男,他是谁,2025-02-21 16:10:24,1,0,喜欢玩暴力迪吧、战火英雄、异形大战铁血战士等另一个号叫科普特coppertone,未知,否,https://i2.hdslb.com/bfs/face/8d5cb3dcb6d26f3a2f1c1c3e472326a9ec8684bf.jpg,Neutral
36,0,255211780497,3546827949345452,no9527803425801,2,保密,并不一定要针尖对麦芒,2025-02-20 13:14:32,0,0,,未知,否,https://i2.hdslb.com/bfs/face/56eeb13d6b96c610369a234c3f31c28ecb46998c.jpg,Neutral
37,0,255211542401,3546827949345452,no9527803425801,2,保密,三角洲没有被启动时里面的人的样子。,2025-02-20 13:11:55,0,0,,未知,否,https://i2.hdslb.com/bfs/face/56eeb13d6b96c610369a234c3f31c28ecb46998c.jpg,Neutral
