序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,255913087792,3546699989518441,不要用心w,4,保密,听说这游戏会修改电源计划[脸红]，不太敢玩,2025-02-20 10:49:20,0,1,,未知,否,https://i1.hdslb.com/bfs/face/dc44fcb3ec0272689e489c4306350394f9281c36.jpg,Regret
2,0,253421641824,2030538823,共正之尹,3,男,想凯哥了五五五,2025-01-25 07:51:11,0,0,前方的路还很漫长，无论如何，你是最棒的，加油啊！,未知,否,https://i1.hdslb.com/bfs/face/1915eeca27d335150daa74f1960cf397a9ac753c.jpg,Sadness
3,0,253192833536,3546388319177426,我不到啊8k,4,保密,qiqi能剪2小时给我当春晚看吗,2025-01-23 03:09:20,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cb2b6a4f6f0b180dae315907344781159f7e589c.jpg,Expectation
4,0,253063714832,485192243,Nil92329,5,男,改枪码有吗？,2025-01-21 19:23:11,0,0,,未知,是,https://i2.hdslb.com/bfs/face/f8e41d03c3ad0e9ca46a5ae66e4d50490f7713e9.jpg,Expectation
5,0,252392958129,364835488,Sky_日天,5,男,不开我吃[生气][生气][生气]（抽象）,2025-01-21 04:55:41,0,1,,未知,否,https://i1.hdslb.com/bfs/face/eeb3bcda0bcfe2926b85a02d358d4f461c7a8683.jpg,Anger
6,0,252092371856,1455060218,硝石重心,5,男,鉴挂大手子都丨喵，可以看看qiqi平时的直播,2025-01-11 08:43:45,0,0,嗯 他那颗心啊 如醉如狂 于是我说 嗯 我愿意 嗯,未知,否,https://i2.hdslb.com/bfs/face/340c524afc9c42bef2655d93bc7c4a3d44f0a2f4.webp,Neutral
7,0,250376593040,1807316903,d6o83i,5,男,999播放量,2024-12-22 09:10:56,0,0,"我是蜈蚣，恭喜你中了3万 cp点。
↓点击这个神奇的小按钮领取",未知,否,https://i2.hdslb.com/bfs/face/722ea055f862ea1f54e23b703c32136e9e813d2b.jpg,Neutral
8,0,249156750656,646593725,名字就叫二猫,5,男,连77和78都能被鉴挂 属实是难蚌了 现在,2024-12-08 09:08:07,0,4,准备当一个新人主播的仔,未知,是,https://i2.hdslb.com/bfs/face/d5852c46046b34a781468530f0a766ba7a8292ce.jpg,Disgust
9,0,248351455072,430830142,shiny_Asuna,5,保密,最近77怎么在尝试不同的剪辑风格喵,2024-11-29 04:48:48,0,1,"SA Official :D
爱发电链接：https://afdian.com/a/SAO-World",未知,否,https://i1.hdslb.com/bfs/face/01606c4eb8242346e3ddb11cd5004121cf223853.jpg,Neutral
10,0,247908326689,103696262,精神稳定鉴定师,6,男,几级子弹啊伤害这么高,2024-11-28 06:12:34,0,0,塞伯坦医生,未知,否,https://i2.hdslb.com/bfs/face/329607072229abc792e3051b50371e20c1c45cca.jpg,Surprise
11,0,247887414289,38576395,血月之爱,5,男,800万说成8千万[笑哭],2024-11-28 00:52:25,0,0,,未知,是,https://i1.hdslb.com/bfs/face/4c04912a388c07f55ed164f4c215ac5c0488a2ba.jpg,Joy
12,0,248136424384,3546555044858545,Silent_海带,4,男,更我的世界!（一个赞支持）,2024-11-26 12:34:32,0,1,pvp大手子,未知,否,https://i1.hdslb.com/bfs/face/5ecb25200079032a92cb7cc9c937d46dd0830095.jpg,Joy
