序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261188594465,244831159,kyiko-,6,保密,@小穹wink,2025-05-05 18:00:57,0,0,你是我脱掉呼吸机都要表白的人,未知,是,https://i1.hdslb.com/bfs/face/86534af432af0a151bacb2188b94f99131247bbb.jpg,Neutral
2,0,261185382833,287747172,我不是申井冰,6,男,我记得凯琪和米神不是mc的博主么[疑惑],2025-05-05 16:44:18,0,0,诶嘿～诶嘿嘿～,未知,是,https://i0.hdslb.com/bfs/face/a41f504cd7efa7c63ea646aa5a23356ff0ff3a4e.jpg,Neutral
3,0,261038975857,1868877379,nor叔的小粉丝nor,2,保密,公司获得小红和小紫达人,2025-05-04 04:31:26,0,0,,未知,否,https://i1.hdslb.com/bfs/face/1ce2dd048cc105968f183c82e94feb4e326756cd.jpg,Neutral
4,0,261928454464,1498253143,_祁妙_,4,女,保险了不是有免费两格啊,2025-05-03 13:41:13,0,0,我见过大海 看过繁星 但唯独遇见你 是我长久以来 所有奔赴的意义,未知,否,https://i1.hdslb.com/bfs/face/1db7c1dabf2eed0f468e96a70e2e1e7ab7f60ff8.jpg,Neutral
5,0,260764740657,1887860177,小好水无,4,男,昨天玩三角洲的时候被很离奇的封号了,2025-04-30 23:27:51,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b731e64403693ca0a6828f5b44eb4b634f68e632.jpg,Disgust
6,0,261654001696,1343298613,意晚代肝三角洲,2,保密,有缺哈弗币的吗（缺老板）,2025-04-30 10:32:37,0,0,"代肝哈弗币→v:izu0228（全天在线）（3×3）
（招跑手）",未知,否,https://i1.hdslb.com/bfs/face/86f15c30215dfdd73b293d17b239b31f1532e7fe.jpg,Neutral
7,0,261487987712,3546607307983538,客观的粉丝,4,保密,@白泽-三角洲行动,2025-04-28 09:08:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
8,0,260488730977,3546776869013881,旺仔小听要睡觉,2,保密,@喝水吃瓜,2025-04-27 08:41:33,0,0,,未知,否,https://i1.hdslb.com/bfs/face/827f8b3627889b475fc416cd7314f9f2d0916292.jpg,Neutral
9,0,261386460208,393667749,摆渡夜归人,6,保密,大坝赚钱航天花，大兵就找杨（）（）[doge_金箍],2025-04-27 03:00:54,0,1,,未知,否,https://i0.hdslb.com/bfs/face/5877d08fa2c7723a81899bdf98ea4de9e5ef3e54.jpg,Neutral
10,0,260192676225,1918557768,大哥你好我,3,保密,杨齐家呢？,2025-04-23 11:50:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
11,0,260106606001,588645362,欢欢安静一点,5,保密,建了个三角洲裙，有没有鼠鼠一起？[鼓掌][鼓掌]，不定期抽epz g10,2025-04-22 09:21:06,0,0,感谢您的观看呐,未知,否,https://i2.hdslb.com/bfs/face/4af88045afe7a91f80749659e850a98929c51096.jpg,Neutral
12,0,259966844705,3546373066590972,我是一个人也是一个人,3,保密,"b站能发语音了
所以我发了一句语音
真的特别好听
BV1s44y1k7pK",2025-04-20 11:56:50,0,0,,未知,否,https://i0.hdslb.com/bfs/face/3b668a84965c2965d04b51f2bfb1b2d6381e5d89.jpg,Neutral
13,0,260815822992,3546704106228026,真的太伤心了,2,保密,最爱康的一集,2025-04-20 01:02:58,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Love
14,0,259595756225,240683460,青玉案宸曦,5,保密,@松松松奈 @六氯苯环BenZenE,2025-04-15 20:08:54,0,0,高考加油,未知,否,https://i0.hdslb.com/bfs/face/ff32540223bc8db0f6c5002043df2df8dc7ae1ce.jpg,Neutral
15,0,260435682608,1220080246,梦栀柯Official,5,保密,@老飞宇66 牢飞鼠66,2025-04-15 08:52:24,0,0,战争是一堆灰烬，你我只是那一堆灰烬中的炮火。但我相信，在那灰烬深处仍有余热。,未知,是,https://i1.hdslb.com/bfs/face/749d9eaed0a78b1e4541dbf6a3983c561259ce1e.jpg,Neutral
16,0,260420457568,1844368409,不出心我要闹了,5,保密,@老飞宇66,2025-04-15 04:34:36,0,0,,未知,是,https://i2.hdslb.com/bfs/face/ef6b91d189eb63e7b61d131ee6fdd71d0154ace6.jpg,Neutral
17,0,260307164672,400915815,卑微霖霖在线寻人,5,保密,@老飞宇66,2025-04-13 14:13:33,0,0,,未知,是,http://i0.hdslb.com/bfs/face/a265d1878776077c65175769c36835c69222f704.jpg,Neutral
18,0,259426190241,3546591252187773,彡浅安,4,保密,杨齐家呢,2025-04-13 12:52:00,0,0,,未知,否,https://i0.hdslb.com/bfs/face/cdd2865721f73c81ef51323045d41d5f97384583.jpg,Neutral
