序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,258180819169,3546632398310087,bili_26542021220,3,保密,关于有个小可怜从去年9.26到现在一个100万以上的大红都没有出过……[大哭],2025-03-29 10:41:57,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b90e3e71b91ff05ec45fd7b98d5293d78e1e48ae.jpg,Sadness
2,0,256259996513,313171390,嘿_好有毒,5,保密,普坝行政区外集装箱摸到的,2025-03-05 09:52:09,0,0,这人很神秘,未知,否,https://i1.hdslb.com/bfs/face/9baa4fd2f523cfc1057e8b85f5a5c3be9126fcab.jpg,Neutral
3,0,252413188321,490456994,大布丁的崛起,5,保密,我在雷达站二楼那个可多电脑的桌子上面出的,2025-01-21 09:13:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
4,0,252344318865,550323173,天泽TanZ,5,男,讲个笑话，我到现在出的所有红除了两块手表是破壁者保险里出的，剩下的全是保险之外出的[笑哭][笑哭][笑哭],2025-01-20 13:31:51,0,0,就爱天赐那咋了,未知,否,https://i2.hdslb.com/bfs/face/7467e5febcd8718e107a162c0134d8b0ec414197.jpg,Neutral
5,0,251432213808,3493297370696024,钿镁铝氦,4,男,水泥厂地上出过金条,2025-01-03 15:32:15,0,0,,未知,否,https://i2.hdslb.com/bfs/face/312a56270f3aa228ed876d0514bb733d3c905d7d.jpg,Neutral
6,0,249865726752,512066328,-GINKAS-,5,保密,要不是有主播的亲自指导，兴许我包里还一个大红没有呢，其实没有大红也没什么不好，不过有大红对我来说更加海阔天空嘛[脱单doge],2024-12-16 12:11:42,0,0,"
路人女主&夏日重现一生推！",未知,是,https://i0.hdslb.com/bfs/face/90834621e20c27beae5d6f0122889819951e1d38.jpg,Joy
7,0,248850897089,686301884,游褒禅山记_,5,男,普坝,2024-12-09 16:04:59,0,0,,未知,是,http://i2.hdslb.com/bfs/face/1d3e7a61a7aeb0749e937c106c4670cc7654ad33.jpg,Neutral
8,0,248840769984,325585915,图圣伟大无需多言,6,保密,出货合集罢了,2024-12-04 14:56:47,0,0,辩论不过就要一击脱离了吗？真可怜,未知,否,https://i1.hdslb.com/bfs/face/a180178d53ddcce67337efbc00b69f9ea073daa7.jpg,Neutral
9,0,248207399841,1961882669,浮士德大人天下第一,4,保密,兄弟们，坠机之地小保险出金条。,2024-12-01 16:10:20,0,1,,未知,否,https://i2.hdslb.com/bfs/face/c31e99f498b57d7f03ec80796a04d7a581fbf692.jpg,Neutral
10,0,248097370145,3546625037305976,兔爷三角洲,4,男,我在游客中心那儿捡到一张卡，100多万,2024-11-30 11:55:20,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0101737ed06dbf30c0ea5c3c9a3b0ee1d54e693b.jpg,Neutral
11,0,248421688784,3493294344505842,韩汗啊,5,保密,呱！,2024-11-30 01:01:14,0,0,随处可见的路人,未知,是,https://i0.hdslb.com/bfs/face/27772f3450795a3dc6389e8adf8785b58c4e1b03.jpg,Neutral
12,0,248392709104,3493107414862406,爱玩原的科碧牢大,4,保密,桌子出过两次[笑哭],2024-11-29 13:47:41,0,0,老弟来查成分了？啥都没有,未知,否,https://i2.hdslb.com/bfs/face/02c693e8b9b09a9ce3fd319e448fe6b5c1dcf634.jpg,Joy
