序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,262121270192,22768829,小熊猫向您问好,6,男,有个小兵搁那哒哒哒气的我直接投出飞镖（无名），然后我朋友正好跑过去，飞镖打他身上弹回来了[支持],2025-05-05 15:41:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/646278822488319e34a85413dccc6f47fa822c0a.jpg,Joy
2,0,261882379520,3546381788645518,_徒_,3,保密,带个电追着你跑，这不是长门吗[笑哭],2025-05-03 03:47:16,0,1,,未知,否,https://i1.hdslb.com/bfs/face/7751ab8e82d36e72aba9fffa2ed019fcee31109e.jpg,Joy
3,0,260884209441,484778350,天玖不是酒,6,保密,这事儿和绝地潜兵地狱火背包按钮有同工异曲之妙[doge_金箍],2025-05-02 08:48:03,0,0,如果革命太过彻底，革命的受益者就会反过来质疑革命的必要性。 ——托克维尔,未知,是,https://i1.hdslb.com/bfs/face/2cf86f55d2a90e0bf2ab77291a72b372b3aa2055.jpg,Surprise
4,0,260529902609,1992306174,-非正常研究俱乐部-,5,男,最后的组合技挺好看的但是他妈能不能把那个“咦嘿嘿嘿嘿，得吃”去掉啊！看着恶心[捂脸],2025-04-27 19:43:50,0,0,一个不定时发布各种内容的不负责up主,未知,是,https://i0.hdslb.com/bfs/face/dd36287596759007d831e2b3a73b098274024a7b.jpg,Disgust
5,0,260502914369,3494366427482469,放下素质_享受快乐,4,男,挂个人，cs，在跳蚤市场抢东西，还炸人,2025-04-27 11:58:59,0,0,,未知,否,https://i0.hdslb.com/bfs/face/71f5462e9564c6f48db8ed2c296ca7ce3396533a.jpg,Neutral
6,0,260494110993,22155980,骚里骚气何拐子,6,男,在某前辈游戏中易有烟狗组合[doge],2025-04-27 10:04:09,0,0,这个人一点都不懒，还写了点东西^O^,未知,否,http://i2.hdslb.com/bfs/face/c41adaaec3df3248e973e19706e89ae2e21e9ff1.jpg,Neutral
7,0,261404822608,604197533,儒动,5,男,投稿，我和朋友打机密航天角色分别是蜂医，麦晓雯，乌鲁鲁。牢二位，我们刚上桥通过的时候被中控的人抽到只剩我麦晓雯，我打倒一个，结果发现蓝室的人也来了，我被两队人堵在桥中间， 绝望的跳到桥底下，他们对打起来的时候，我跑进了浮力大厅，可还是被抽了半血，刚要喘口气的时候，突然发现角落里站着个喷子人机，一喷锁头大残，再一喷锁手给我踢死了,2025-04-27 07:42:57,0,0,阿巴阿巴,未知,否,https://i2.hdslb.com/bfs/face/46400e2aa249b0bda7e8f2ca5ae7d337392ebd41.jpg,Sadness
8,0,261290988128,1695698729,CorvusNocturne,5,保密,谁说的cp啊[捂脸]蜂医人家都有女儿的好吗,2025-04-25 23:14:30,0,0,斯托拉斯重度依赖,未知,否,https://i2.hdslb.com/bfs/face/b1f30bc13ec9da06260066ab0dc32fb935cb6d69.jpg,Neutral
9,0,261283028048,39865909,一定能再见到你,6,男,……,2025-04-25 17:18:54,0,0,只分享自己喜欢的,未知,否,https://i1.hdslb.com/bfs/face/1142521121230b9ddec002524e59826ae3bc8aad.jpg,Neutral
10,0,260160151873,1209877589,-嘿黑hei-,5,男,@凤源乾 不准挡我道具👊🏻😡,2025-04-23 03:36:16,1,0,,未知,是,https://i2.hdslb.com/bfs/face/8235029317d945e43d1a9cb509b59eddaf37fe33.jpg,Anger
11,0,260095712353,1972600351,海芒之星,4,男,手游：想要我的命中不标记吗,2025-04-22 05:52:58,0,0,默默无闻罢了,未知,否,https://i1.hdslb.com/bfs/face/f502587e9b495ef88fcdb8ecb1a142e2b1925cd5.jpg,Disgust
12,0,260915066512,2028288713,我列幵了,5,保密,@秋天的枫leaf @NZXXXGG @ET屿木,2025-04-21 04:26:53,0,0,"？？
？？
？？",未知,否,https://i2.hdslb.com/bfs/face/81a51a0f075a589ab3c72238b2703c22d8dd9302.jpg,Neutral
