序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,246625575616,35397840,肉松猫薄荷,6,男,同喜同喜，普通长弓出的[doge],2024-11-08 15:05:55,0,0,为什么我没有脸，或许是因为你不想看到…,未知,是,https://i0.hdslb.com/bfs/face/b3f4a5dd1c3e8a50ee1b9f0aab60429bbf63327c.jpg,Neutral
2,0,245601749936,2038068838,pubg小小鱼,3,保密,谢谢,2024-10-27 07:38:05,0,0,三角洲账号：哈夫克的鼠鼠12,未知,否,https://i1.hdslb.com/bfs/face/42684faaf3fcfd56a596201fc09c8758664346d6.jpg,Neutral
3,0,245066539040,695177305,明白得糊涂,5,男,感觉是故意整的节目效果,2024-10-20 10:35:17,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d9980cf0d0e55fa9b9b25361cea8e1a01e83d03e.jpg,Disgust
4,0,244838473489,514184468,物鲤看花,5,男,想知道保险箱里面有什么,2024-10-20 10:15:02,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e45fd987148ca46b20d857da0b01fbdebe9b9bb9.jpg,Expectation
5,0,244836903825,480601566,跟风远走高飞,5,男,目前已有的搜打撤玩法，感觉暗区更好玩,2024-10-20 09:52:51,0,45,,未知,否,https://i0.hdslb.com/bfs/face/270c054723a43458f48820f10d098a427e661cbd.jpg,Joy
6,0,244835780657,1811670696,徒步闯天涯,5,男,"在暗区就相当于一个狮子加热模,捅金库了是吧?",2024-10-20 09:37:18,0,10,,未知,否,https://i0.hdslb.com/bfs/face/bd4606758430f9a57f1716ee42c3f6a46ec517a6.jpg,Neutral
7,0,245060349408,1202235712,森语暖阳,5,男,卡莫纳土匪：我倒要看看你保险箱能塞多少[doge],2024-10-20 09:16:44,0,3,,未知,否,https://i1.hdslb.com/bfs/face/d5ebad2c076f48bc98c0e8ed323dd67b42881d09.jpg,Joy
8,0,244832105041,518785872,仗剑笑九州,5,男,只能说暗区更有节目效果，毕竟在敌人的包里大包翻小包，不翻个底朝天都不知道他藏了什么好东西,2024-10-20 08:47:40,0,6,,未知,否,https://i0.hdslb.com/bfs/face/4481f4897d2f005634a39d1c60b68b17ef8293ce.jpg,Joy
9,0,245057115152,677787634,知足常乐wo,4,男,一眼就是老板包,2024-10-20 08:32:51,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3089ea035a70ab865e287ba02cf62685b93aefc8.jpg,Neutral
10,0,244830051889,1906843088,new贰,5,男,哪家好人一全副身家带出来的,2024-10-20 08:17:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e0f09e8feef9a4e581e11e633c636cbaa409fd0b.jpg,Neutral
11,0,245054991888,14226409,焕月huanyue,6,男,战地模式固然做得很好，不过摸金模式还是暗区做得更专业一点,2024-10-20 08:01:19,0,53,,未知,否,https://i1.hdslb.com/bfs/face/8c0cc8d053be38b72a62f6b0e103215e0ffede70.jpg,Expectation
12,0,244998125216,485838203,蒂陳,5,保密,？😨@寄了寄了_,2024-10-19 14:30:09,1,1,摆大烂,未知,否,https://i2.hdslb.com/bfs/face/eee0903b65ccc429cb3c7d3bc73c48f75901036c.jpg,Surprise
13,0,244774605745,123820384,伴杯墨汁,6,男,谁把身家带出来了[doge],2024-10-19 14:28:43,0,0,错将醋墨俩相掺，半生苦涩半生酸，,未知,否,https://i1.hdslb.com/bfs/face/cd2d28dcace7d91062a973ab7a81dc5ce9b0ea0a.jpg,Neutral
14,0,244773259521,399575980,渴望自由的小草,5,男,所以他保险里到底塞了什么？岗赛吗？,2024-10-19 14:12:45,0,0,本人14岁，上初二,未知,否,https://i1.hdslb.com/bfs/face/d47a4a0b642fb0e7865c638e92f0cb76fd99dbe9.png,Neutral
15,0,244996591552,1047254120,岷在我心间,5,男,此时，一个自信的鼠鼠上了号[doge],2024-10-19 14:12:37,0,0,诗篇又回归原野，他伴我览过人间,未知,否,https://i2.hdslb.com/bfs/face/62ee95f2d9873b4000d90311416d5422d080685d.jpg,Neutral
16,0,244996483136,383096604,致那个夏天,6,男,沟槽的萌新时期捡了个40格背包，不知道自己仓库有小背包，直接就用这个背包了，死了后丢了，过了几天才发现这个背包50w[无语],2024-10-19 14:10:00,0,0,小马粉/助屋粉/neuro粉/fps玩家,未知,否,https://i0.hdslb.com/bfs/face/b5ff842f299d6a1f81e1bae37d7c7cfb89a59657.jpg,Regret
