序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261888321744,3493292102650401,HAAVK安全总监伊蕾娜,4,保密,直升机拉闸点蹲了三分钟都没一个人，剩28秒的时候被我旁边的一个老鼠给阴了[笑哭],2025-05-03 04:56:40,0,1,,未知,是,https://i0.hdslb.com/bfs/face/b5f8f255f2b46856e79a45299fac58c84cc6d649.jpg,Regret
2,0,260038699440,3546683226982643,忆远妄生,3,保密,我这个才是最绝望的死法,2025-04-10 12:19:25,0,0,,未知,否,https://i2.hdslb.com/bfs/face/bef92fa8a4f7378081b1ed256a1fcc2c51e02331.jpg,Sadness
3,0,257275181600,298246025,米洛早慢熊,5,保密,老飞宇の奇妙冒险,2025-03-08 12:01:36,0,0,,未知,是,https://i2.hdslb.com/bfs/face/4adf0a6cb50d1abc118a18f7db4041c0fa2417c5.jpg,Neutral
4,0,257087079152,3546653843786022,基建狂魔哥,3,保密,哎呀，新节目是挺不错滴，就是这薯片啊，看多了有点审美疲劳。最近感觉薯片时间越来越短，不够看啊。老飞宇那个唐又唐又帅的，剪成这种串烧集锦还挺有意思的，活泛得很！,2025-03-06 07:12:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0a2883686f3b171844677e4eeb6ef1003f8e3742.jpg,Neutral
5,0,257081017792,1464758243,彭于晏分晏ER,5,保密,最绝望的死法，搁水泥厂吃垃圾，被一个乱扔刀的麦晓雯扎死[捂脸],2025-03-06 05:26:14,0,0,,未知,否,https://i2.hdslb.com/bfs/face/27c9e82230d73f06525d1c20d45bd642434c0d52.jpg,Sadness
6,0,256313834625,702885890,冷门牢歌信仰玩家,5,保密,[给心心],2025-03-06 03:58:05,0,0,11000分b歌,未知,是,https://i2.hdslb.com/bfs/face/075b1b72f601ad42a8f804cb82737fbe6fea1d76.jpg,Neutral
7,0,256150843633,3546861103220995,三角洲代肝小寒,2,保密,（在校男大接3x3任务）（压学生证）,2025-03-04 00:50:14,0,0,纯绿接所有任务，新赛季dd绿泡泡19196033033,未知,否,https://i1.hdslb.com/bfs/face/f9ca8c0c1250851c427f77694882051ba5f3225e.jpg,Neutral
8,0,256888398672,2003228418,米乐电竞,4,男,还好啦，毕竟鼠鼠能有什么坏心思呢,2025-03-03 15:34:40,0,0,"三角洲找护航？
就选米乐电竞！
服务良好，品质保证，纯绿打手，选择放心！",未知,是,https://i0.hdslb.com/bfs/face/d28a6481f4ab496c242102db850650a73a7fe872.jpg,Joy
9,0,256855824272,435404440,桐藤ナギサ单推人,6,男,我错了[大哭]以后再也不敢周末晚上打绝密了,2025-03-03 08:54:08,0,0,吾心吾行澄如明镜，所作所为，皆属正义。,未知,否,https://i1.hdslb.com/bfs/face/c84804d83acf15175739a64dccdd9af8603480fa.jpg,Regret
10,0,255856300801,3546743415244853,经常熬夜的老年人,3,男,阿～～～,2025-02-28 11:51:26,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ccceb94f094fb58b1d866ae0a63d19f5f47da0d6.jpg,Neutral
