序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261567406049,68497485,88078556,6,保密,好玩，喜欢,2025-05-10 19:29:46,0,0,别人用的风电，水电，核电，我用❤️发电。,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg,Joy
2,0,262035610400,3493114880723011,废柴狗1,5,保密,不是，怎么还有全自动草丛,2025-05-04 16:26:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c18a94a9fada6fc7cf0757208b207f264b266e3c.jpg,Disgust
3,0,261095143377,693157954,koi-捣蛋猫,5,保密,再怎么样也比航天撤离率高。,2025-05-04 15:54:25,0,0,,未知,否,https://i1.hdslb.com/bfs/face/09254d48afce2f9c658cd47690085c998f998fd6.jpg,Disgust
4,0,261078558065,3546883913943880,停尸房公主,2,保密,我反正就常规大坝跑刀[呲牙],2025-05-04 12:53:27,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
5,0,261051476641,1529575453,橘子哥-北淼,5,男,我就想问问策划是不是忘了三角洲还有一个模式？,2025-05-04 07:16:34,0,1,,未知,是,https://i1.hdslb.com/bfs/face/4e3b10549d551a1f40ffeb7feec16c9cca75b9bf.jpg,Anger
6,0,261976415328,3546881990855320,没有无辜群众,2,保密,一堆老鼠,2025-05-04 04:41:16,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e013362cffc80f13cccefcbc2b0ca1b1ae1af9e8.jpg,Disgust
7,0,260612137761,360778571,洼洼鲸鱼,6,男,不如删档,2025-04-29 00:58:17,0,0,这个人是巨神秘，什么都没有写,未知,是,https://i2.hdslb.com/bfs/face/c60f117f179f569388f86dc86f134b3d75384cbe.jpg,Regret
8,0,261523978192,3546738820384806,琪舞豹豹酱,3,保密,好奇问一下，你跟隔壁那个科研哥是啥关系？[笑哭][doge],2025-04-28 16:56:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c732cdf214e6d8f7d62d9c495a7077ae9c001520.jpg,Neutral
9,0,260566757313,3546887898532657,布鲁斯中士,2,男,此视频一经发出，各大挂逼，都回到了航天基地，开始疯狂宰割鼠鼠,2025-04-28 09:25:10,0,0,,未知,否,https://i1.hdslb.com/bfs/face/626d790b21917ffe8b84b9f817481813f6301b19.jpg,Disgust
10,0,261278304752,3546822192662704,乐子门,3,保密,是不落泪吗？,2025-04-25 16:04:16,0,1,,未知,否,https://i1.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg,Neutral
11,0,261202498672,488660744,哔哩吧啦卟噜吧啦,5,保密,容易撤离？能这么认为的我只能说在生活里是阿巴阿巴的蠢货，脑子不动只会看视频，单通道出口撤离点简直就是蹲点圣地，然后是那个撤离任务，人家博士还有超雄小兵护送，人家飞升者起码还是在发射区能给你架枪，那在撤离点旁边的破壁我就不说了，那夜莺行动地图大中央 4面漏风的你拿头收，最尼玛抽象的那个山洞里的丢包都尼玛是所有地图撤离点中最好蹲人的，你跟我说容易[捂脸],2025-04-24 17:26:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/912d01e1b6e9a6c7b3a3c18eb3556db8504409d5.jpg,Anger
12,0,260245859441,308611652,柏舟于行,4,保密,抱了一坨大粪，55万战位进去摸一堆垃圾，70万一次的钥匙开两个小金，整个行政楼摸完了还不够钥匙钱，甚至保险出蓝色硬币。[鸣潮_嗯][辣眼睛][辣眼睛][辣眼睛]333,2025-04-24 06:25:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg,Disgust
13,0,261128377648,2007947811,你可真是又蔡又爱Van,5,保密,真没想到三角洲的策划都能吹，这赛季的折翼行动是人想的出来的？飞升行动最起码每局都有，而且是开局一段时间之后刷新，折翼行动开局刷新，没刷折翼也就算了。刷了你不是1号位还抢不到折翼，还有暗改爆率什么的也就不说了，3*3这种利好玩家的事情，策划作妖，玩家里面先打起来了，还有四目老飞宇逆天发言说简单，结果自己做3*3还要叫护航一起，就这样还要做这么久，无敌了,2025-04-23 18:58:28,0,1,,未知,否,https://i0.hdslb.com/bfs/face/5ab992b0ad5f225b389f2b18d3ab01c5aad404a1.jpg,Anger
14,0,261110468848,1700394022,天灵黄泉,5,男,说白了，我玩绝密都比黑夜好,2025-04-23 13:48:44,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ff7d114726a1ee318446f185972bbcb69b7d104c.jpg,Regret
15,0,260193803873,40436966,怀抱嫦娥戏七仙,5,男,想多了多少不演的举报都不封[吃瓜][吃瓜],2025-04-23 12:05:54,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9735e2aead114d3fc70ee4bfa1dda12eb5eab022.jpg,Disgust
16,0,260094786033,107847264,小新有蜡笔呀,6,男,想多了，这个逼黑夜给狗玩的[辣眼睛]特别是那个夜视头，戴久了还伤眼睛,2025-04-22 05:34:41,0,0,热忱之心不可泯灭,未知,否,http://i0.hdslb.com/bfs/face/8bc804cc72115be3fee2a16b8a5d6e3a0b8659d8.jpg,Disgust
17,0,260994463744,1331064131,痴于叶的华,5,保密,我想玩哪个玩哪个[哈欠],2025-04-22 04:23:40,0,0,意满离对嘛，孩子,未知,是,https://i2.hdslb.com/bfs/face/488c0a64e83f64a5806feb951636b761e381f833.jpg,Neutral
18,0,260976857696,355353620,孙笑川__十3,6,男,这游戏爆率机制就该改成和段位有关，段位越高爆率越高，还有就是他那个匹配机制，按kd匹人什么后果apex不是已经告诉我们了吗,2025-04-21 20:02:24,0,0,,未知,否,https://i2.hdslb.com/bfs/face/34bb07625d885bf6b2c2a1317c9082dee6562a29.jpg,Anger
19,0,260969362336,552006129,白夜古龙,5,保密,然后你就会发现进去之后直接卡死,2025-04-21 16:18:20,0,0,,未知,是,https://i0.hdslb.com/bfs/face/22e94fd46411df762216ec3a88c32b0699cb0924.jpg,Disgust
20,0,260967184592,3546704534047403,bili_63226988894,4,保密,招笑,2025-04-21 15:49:46,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
