序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,264547459952,356558614,嘿嘿嘿嘿嘿嘿_HA6,5,保密,"迷霧方式做的黑夜會導致髒屏黑平衡準確度直接爆炸 , 目前濾鏡和VCGT修改方式反外掛截圖都看的到只是看官方要不要抓而已.",2025-06-03 05:47:19,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0aa49dde0a8f9868da616bd2311cf96c73843cf9.jpg,Disgust
2,0,262518346321,3493141273381086,人生遗憾才是常态,5,保密,不是 弹幕还有cs说都能开不算cs，不是奔着cs想法来，那玩啥黑夜模式啊，有啥意思。,2025-05-22 22:30:03,0,1,"一生为民 老身今自由。心无疚 随意度春秋。
动态大可不看，都是些牢骚。",未知,否,https://i0.hdslb.com/bfs/face/e3376874c7b09d083dc833b83d00c6d6ab2072bf.jpg,Disgust
3,0,261005082736,427586644,奶盖一定要加盐,6,保密,是我不让你买显示器了吗 显示器对你限购了吗？tell me why baby！ why！[doge],2025-04-22 07:29:37,0,0,,未知,否,https://i1.hdslb.com/bfs/face/20f50eeab5c7033a4d3a220310535815fc3b02ab.jpg,Neutral
4,0,260059250273,1640157553,ReYu_Ofl,5,男,三角洲黑夜模式把暗部整成死黑 滤镜勾不炸了吗,2025-04-21 14:51:33,0,0,,未知,是,https://i1.hdslb.com/bfs/face/58a9381f5249819f24c401a1538cfaec0d8677e7.jpg,Disgust
5,0,259969036401,493185381,咸味欧培拉,6,女,为什么这个夜视头不做个四级的 终夜那肯定五头六头没毛病 但是那个长夜就机密巴克什的入场额度 想看清就必须花大几十万买个五头 不买啥都看不见 连卡战备进图的成本都那么高,2025-04-20 12:25:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8572c906c83ebcc824f9230e43082782a734eb2e.jpg,Disgust
6,0,260763798480,3546818279376928,天与伦比的狗,2,保密,@三角洲行动,2025-04-19 09:50:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2e6479c1bad990fee1564bfd99cc604f8ffb007b.jpg,Neutral
7,0,260730479296,12774767,切格瓦拉-NEW,6,男,hdr吗,2025-04-19 02:16:34,0,0,怠惰...,未知,是,https://i2.hdslb.com/bfs/face/f19393ee01161cfef01c533f70a42f095c611628.jpg,Neutral
8,0,259835692609,21250390,椎名梦叶,6,保密,你都拿自己眼睛换钱了，我还能有什么办法呢,2025-04-19 02:03:10,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f4965b8a68a3aae4c2cccef9bb9ffce7ddc01855.jpg,Regret
9,0,259825846001,477926268,毁人心态,6,男,这黑夜战对守方来说简直就是噩梦，攻击方就像幽灵一般随时都出现开暗枪,2025-04-18 20:56:41,0,0,"少年强 则国强
",未知,是,https://i0.hdslb.com/bfs/face/e4538bf8ff81f4b9fb378f4fe5960efb1d4a6590.jpg,Disgust
10,0,259823670881,325721165,欧阳命大,6,保密,我有一个想法，那我在现实里买个夜视仪带上不就能看到了？[脱单doge],2025-04-18 18:56:28,0,0,今天也是不会画画的咸鱼呢,未知,是,https://i2.hdslb.com/bfs/face/ab946d0c20f6353d9e54bd6a0c59b5adbb132055.jpg,Surprise
11,0,260596592032,162695506,陶然自得啊,5,保密,没啥用。该开的还是开，该干的还是干你。,2025-04-17 09:43:23,0,0,,未知,否,https://i1.hdslb.com/bfs/face/400315599870cff9afd406c61794ea39ab16da70.jpg,Anger
12,0,259702350145,305804668,光明沉沦,6,男,战争迷雾？你是觉得挂钩能给自己添加的BUFF太少，现在直接战争迷雾了，也对，毕竟无名会喷气[嗑瓜子],2025-04-17 07:45:05,0,1,咸鱼啥都发发，欢迎关注,未知,是,https://i1.hdslb.com/bfs/face/d50ef61d67ac87d345eac9cd163764b872b5733c.jpg,Disgust
13,0,259689588673,250578099,青龙会长公子羽,6,保密,很公平，我失去了哈夫币，你失去了视力,2025-04-17 04:11:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0e88b465f2b1778fe03fc8f50e46467e0aa35a28.jpg,Anger
14,0,260574957776,505992103,小冥不是明,5,男,塔科夫夜图玩少了给惯的,2025-04-17 03:59:51,0,0,介绍个头,未知,否,https://i1.hdslb.com/bfs/face/d5b095fededa5ec58827d8a7e4d2d3283c09cc3e.jpg,Disgust
