序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,259365256449,32508067,吾名夏天哒,6,保密,就好比你把音量拉到满就可以自带一个听力头一样[doge]我觉得玩个游戏牺牲眼睛和耳朵这种事 大可不必,2025-04-12 18:37:22,0,0,告别过去，展望未来,未知,否,https://i1.hdslb.com/bfs/face/220b5b864b02fe92bde70c8e3e5e16190104c75f.jpg,Disgust
2,0,259277413889,1023787697,黑白鹿球,4,男,"饼饼姐，下赛季能分析下剧情吗[打call]
我觉得大战场新战前动员语音好悬[思考]https://b23.tv/BV1sVdDYaEw8",2025-04-11 17:32:08,1,0,我嘞食鸡肉！,未知,否,https://i2.hdslb.com/bfs/face/3d8b7bd1680a6f0cc70ce0b1f05386d1d01b9190.jpg,Expectation
3,0,259247976321,407016383,Chesire柴君,5,男,手机端可以试试颜色反转[doge][doge][doge],2025-04-11 11:04:32,2,0,,未知,否,https://i2.hdslb.com/bfs/face/cf6a1f76a1ae1df49139696dcb51f616476dbd29.jpg,Neutral
4,0,259226576337,397437982,美好终将散场,5,男,教你一个 有个灰度调整软件 去塔科夫那边搜  然后 把那个东西 设置一个快捷键  然后就可以了 进楼里  快捷键按一下就行,2025-04-11 05:39:12,1,0,专注动漫的小可爱~,未知,是,https://i1.hdslb.com/bfs/face/4e74bd67ae074ec53721384cfd208ceddbac6124.jpg,Expectation
5,0,259222643761,75069278,Longbow3-1,6,男,白天普坝还有吗,2025-04-11 04:44:52,4,0,谁叫的精准空袭,未知,否,https://i2.hdslb.com/bfs/face/f07d4081e7d602fe83c0928d10a0e773994a7452.jpg,Neutral
6,259226576337,259227853521,1791010784,名字trouble,5,男,你是否在寻找:小蝴蝶,2025-04-11 06:02:14,0,0,花落无闻，人去无迹,未知,否,https://i2.hdslb.com/bfs/face/2413eb9c86847ee7d2b6e22d30a47907446f6eca.jpg,Neutral
7,259222643761,260088200544,3546753695484424,饼饼打电动,5,女,应该有的,2025-04-11 04:48:02,0,0,就好打点fps，商务私信注明品牌。,未知,否,https://i1.hdslb.com/bfs/face/944f655fd1610f048aa0555adb4d05737086eaf4.jpg,Expectation
8,259222643761,260089120192,3546753695484424,饼饼打电动,5,女,吧[doge],2025-04-11 04:57:58,0,0,就好打点fps，商务私信注明品牌。,未知,否,https://i1.hdslb.com/bfs/face/944f655fd1610f048aa0555adb4d05737086eaf4.jpg,Neutral
9,260089120192,260098196560,77382501,Seventeen17丷,6,保密,回复 @饼饼打电动 :诶[doge],2025-04-11 07:25:59,0,0,,未知,是,http://i0.hdslb.com/bfs/face/d82774409f350e4cf161ce5e4e9c5b103f381851.jpg,Neutral
10,259222643761,260098368032,77382501,Seventeen17丷,6,保密,我觉得，肯定有，不然新入坑的路都有不明白，会被骂死的[doge]但是我猜有可能机坝之类可能会不常驻，,2025-04-11 07:27:28,0,0,,未知,是,http://i0.hdslb.com/bfs/face/d82774409f350e4cf161ce5e4e9c5b103f381851.jpg,Expectation
11,259247976321,259267213105,1048641455,lem_yh,5,保密,这玩意你看暗的地方还是看不清，只不过是一坨白的,2025-04-11 14:59:09,0,0,,未知,是,https://i2.hdslb.com/bfs/face/1459e572d23cb5af7d8853e80ede969e7ee19522.jpg,Disgust
12,259247976321,259682186657,1566378,zfRa,6,男,颜色反转会变全白,2025-04-17 02:04:17,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b15dea84b617e2307386d6f173ab4e95ef9d43ea.jpg,Neutral
13,259277413889,260196160416,3546753695484424,饼饼打电动,5,女,会有的！但是目前看来剧情好像没什么更新 等我再看看,2025-04-12 09:57:40,0,0,就好打点fps，商务私信注明品牌。,未知,否,https://i1.hdslb.com/bfs/face/944f655fd1610f048aa0555adb4d05737086eaf4.jpg,Expectation
