《三角洲行动》|介绍|9x19mm口径家族武器进阶攻略
G.T.I.|帮助|干员们了解弹药知识
9x19mm弹药|共有|5种型号
9x19mm弹药|型号包括|9x19mm PSO
9x19mm弹药|型号包括|9x19mm Pst
9x19mm弹药|型号包括|9x19mm AP6.3
9x19mm弹药|型号包括|9x19mm PBP
9x19mm弹药|型号包括|9x19mm RIP
9x19mm弹药|分为|穿甲弹和高肉体伤害弹
穿甲弹|基础伤害比例|100%
高肉体伤害弹|基础伤害比例|130%
9x19mm弹药|穿透等级|0到4级
9x19mm RIP弹药|穿透等级|0级
9x19mm RIP弹药|无法穿透|任何护甲
9x19mm RIP弹药|基础伤害系数|130%
敌人有护甲防护|建议|优先选择穿甲弹
穿甲弹|作用|对敌人护甲造成高额伤害
等级越高的穿甲弹|效果|越好
9x19mm RIP弹药|适合|瞄准敌人四肢无护甲部位
9x19mm RIP弹药|特点|高伤害系数快速击倒敌人
9x19mm弹药|主要适用|部分冲锋枪和手枪
手枪|适用型号|93R
手枪|适用型号|QSZ92G
手枪|适用型号|G17
手枪|适用型号|G18
93R|具备|较高腰射精度
QSZ92G|具备|较高腰射精度
G17|具备|较高腰射精度
93R|具备|3连发开火模式
QSZ92G|后坐力控制|较高
QSZ92G|适合|新干员上手
G18|腰射精度和后坐力控制|不高
G18|射速|超高
G18|战斗力|遥遥领先
建议干员|携带|穿甲弹和高肉体伤害弹
干员|根据战斗情况|随时切换弹药
冲锋枪|腰射精度|普遍低于手枪
冲锋枪|不适合|配备高肉体伤害弹作战
UZI冲锋枪|后坐力控制|较好
MP5冲锋枪|后坐力控制|较好
UZI冲锋枪|基础伤害|略低
UZI冲锋枪|适合|双弹混用
UZI冲锋枪|使用策略|先用高等级穿甲弹破甲，再用高肉体伤害弹
MP5冲锋枪|更好选择|预算充足时
勇士冲锋枪|后坐力控制|一般
勇士冲锋枪|据枪稳定性|一般
勇士冲锋枪|基础伤害|较高
勇士冲锋枪|价格|不菲
勇士冲锋枪|建议|经济充裕时使用
野牛冲锋枪|后坐力控制|一般
野牛冲锋枪|据枪稳定性|一般
3DM小编|整理|《三角洲行动》9x19mm口径家族武器进阶攻略
更多游戏攻略|请关注|3DM手游网
