三角洲行动|有|s4赛季
s4赛季|已经上线|三角洲行动
三角洲行动s4赛季|包含|收集者系列任务
收集者系列任务|需要|道具
道具|包括|滑膛枪
道具|包括|本地特色首饰
收集者中所有道具|需求|非绑定
收集者1|需要|2个阿萨拉时尚周刊
收集者1|需要|2个木雕烟斗
收集者1|需要|5个情报文件
收集者1|需要|2个便携音响
收集者2|需要|1个人工膝关节
收集者2|需要|1个体内除颤器
收集者2|需要|3个电子显微镜
收集者2|需要|1个离心机
收集者2|需要|2个血压仪
收集者3|需要|5个模拟温度计
收集者3|需要|3个军用望远镜
收集者3|需要|3个生化培养箱
收集者3|需要|2个心脏支架
收集者3|在机密绝密中带出|2个仪典匕首
收集者4|需要|3个阿萨拉特色提灯
收集者4|需要|3个阿萨拉风情水壶(水烟壶)
收集者4|需要|2个阿萨拉特色酒杯
收集者4|需要|3个阿萨拉特色酒壶
收集者4|需要|3个阿萨拉特色陶瓷
收集者4|带出|2件静脉定位器
收集者5|需要|1个本地特色首饰
收集者5|需要|2个加密路由器
收集者5|需要|2个电动车电池
收集者5|需要|2个单反相机
收集者5|需要|1个军用弹道计算机
收集者6|需要|1个滑膛枪展品
收集者6|需要|2个卫星电话
收集者6|需要|1个数码相机
3DM小编|整理|s4赛季收集者所需道具一览
更多游戏攻略|请关注|3DM手游网
本文内容|来源于|互联网
如有侵权|请联系|删除
