三角洲行动|即将更新|全新的S2版本
S2版本|会更新|新的活动
S2版本|会更新|新的地图
S2版本|会更新|新的武器
S2版本|会更新|新的通行证
S2版本|会更新|新的枪械皮肤
S2版本|会更新|新的干员
不同的干员|有着|不同的玩法
佐娅|是|三角洲行动中的干员
很多玩家|不太清楚|佐娅怎么玩
小编|介绍|佐娅的技能
小编|介绍|佐娅的实战玩法技巧
被动技能|名称是|高效治疗
高效治疗|效果是|减少己方打药时间
双方交火且需要恢复状态时|我方拥有|佐娅
我方拥有佐娅|可以|减少己方打药时间
敌方还在打药时|我方|已经打完了
我方已经打完了|可以|进行攻击
技能一|名称是|肾上腺素
肾上腺素|是|T0技能
肾上腺素开启后|友方单位抢抬高度|变小
肾上腺素开启后|击杀或助攻增益效果|增强
技能二|名称是|致盲毒雾
致盲毒雾|效果是|投掷一枚烟雾弹
烟雾弹|作用是|掩护队友进攻
毒雾中的敌方|会持续|受到致盲效果
流萤集群系统|包含|无人机
无人机触碰友方单位|会触发|肾上腺素技能
流萤集群系统开启后|向前发射|亿点无人机
无人机触碰敌方|敌方|受到影响
无人机触碰敌方|最多扣除|20血量
被无人机扣除的血量|会|缓慢恢复
三角洲行动佐娅实战玩法教学攻略|由|3DM小编整理
更多相关游戏攻略|请关注|3DM手游网
本文内容|来源于|互联网
