三角洲行动|包含|协议箱
协议箱|是|宝箱
宝箱|是|重要资源
找到宝箱并开启|可以获得|大量物资
宝箱|在|指定地图刷新
宝箱|数量|有限
协议箱刷新位置|主要是|长弓溪谷
协议箱刷新位置|主要是|航天基地
协议箱刷新位置|主要是|零号大坝
航天基地|有|S1协议箱
S1协议箱|奖励|SG552枪皮
S1协议箱|位置|宿舍楼三号楼一楼摩斯密码门
打开摩斯密码门|可以|接取任务
完成任务|可以|获得S1协议箱
航天基地|有|S2协议箱
S2协议箱|奖励|金色5级甲
S2协议箱|位置|黑室一楼摩斯密码门
打开摩斯密码门|可以|获得S2协议箱
航天基地|有|S3协议箱
S3协议箱|奖励|SKS枪皮
S3协议箱|位置|组装室二楼摩斯密码门
打开摩斯密码门|可以|获得S3协议箱
零号大坝|有|D1协议箱
D1协议箱|奖励|K416枪皮
D1协议箱|位置|大坝北边撤离点绿色建筑
跳到绿色建筑|可以|获得D1协议箱
零号大坝|有|D2协议箱
D2协议箱|奖励|5级金背包
D2协议箱|位置|游客中心西边地下室
进入地下室|可以|接取任务
完成任务|最终砸门|可以获得D2协议箱
零号大坝|有|D5协议箱
D5协议箱|奖励|P90枪皮
拿完D2协议箱|出门右转|到达通道
通过通道|开门|获得D5协议箱
零号大坝|有|D3协议箱
D3协议箱|奖励|金色5级头
获得D3协议箱|需要|三把钥匙
钥匙1|位置|水泥厂小屋墙上线索
打开大门|获得|钥匙1
钥匙2|位置|水泥管前地下室尽头门
开启门|获得|钥匙2
钥匙3|位置|主变电站橙色集装箱
获得钥匙3|进入|橙色集装箱
用钥匙开门|位置|主变电站右边房子地下室
开门|获得|D3协议箱
零号大坝|有|D4协议箱
D4协议箱|奖励|金色5级甲
D4协议箱|位置|水泥厂左边地下室
寻找线索|开门|获得D4协议箱
长弓溪谷|有|L1协议箱
L1协议箱|奖励|17格蛋挂
L1协议箱|位置|阿米亚小镇屋子地下室
进入地下室|开门接取任务|获得钥匙
用钥匙开门|获得|L1协议箱
长弓溪谷|有|L2协议箱
L2协议箱|奖励|SCAR-H枪皮
L2协议箱|位置|小型庄园地下室摩斯密码门
打开摩斯密码门|获得|L2协议箱
长弓溪谷|有|L3协议箱
L3协议箱|奖励|金色5级头
获得L3协议箱|需要|三把钥匙
钥匙1|位置|大坝地图架子上（拿D3协议箱时）
钥匙2|位置|村庄废弃房子
钥匙3|位置|超星车站南边地下室
用钥匙开门|位置|牧场石墙下地下室
开门|获得|L3协议箱
长弓溪谷|有|L4协议箱
L4协议箱|奖励|金色5级甲
获得L4协议箱|需要|四个线索组成摩斯密码
线索1|位置|储藏站南边山洞
线索2|位置|荒废村庄墙上指引
线索3|位置|村庄左边雷区靠近牌子地雷炸开
线索4|位置|蓝港码头高楼最上面
利用线索|打开|酒店下面地下室门
开门|获得|L4协议箱
长弓溪谷|有|L5协议
