三角洲行动|包含地点|航天基地
航天基地|包含点位|大金点位
大金点位|刷新位置|组装室轨道
组装室轨道|包含物品|火箭燃料
大金点位|刷新位置|浮力室医务间免费房
浮力室医务间免费房|位置描述|进门后右边的角落
浮力室医务间免费房|包含物品|卫星天线
大金点位|刷新位置|黑室小保险旁边航空箱
黑室小保险旁边航空箱|包含物品|曼德尔超算单元
大金点位|刷新位置|飞升者任务
飞升者任务|包含物品|实验数据
大金点位|刷新位置|三仓外武器箱
三仓外武器箱|颜色|绿色
三仓外武器箱|包含物品|军用炮弹
大金点位|刷新位置|飞升者火箭仓
飞升者火箭仓|包含物品|军用望远镜
飞升者火箭仓|包含物品|实验数据
飞升者火箭仓|包含物品|笔记本电脑
大金点位|刷新位置|总裁室保险箱任务
总裁室保险箱任务|包含物品|军用雷达
大金点位|刷新位置|组装室2楼白衣服
组装室2楼白衣服|包含物品|实验数据
组装室2楼白衣服|包含物品|纯净打火机
大金点位|刷新位置|黑室和蓝室中间航空箱
黑室和蓝室中间航空箱|包含物品|摄影机
大金点位|刷新位置|黑室二楼机箱
黑室二楼机箱|位置描述|桌子下
黑室二楼机箱|包含物品|显卡
大金点位|刷新位置|蓝室
蓝室|包含物品|滑膛枪
蓝室|位置描述|梯子下有个保险箱
大金点位|刷新位置|中控三楼钥匙房
中控三楼钥匙房|包含物品|军用终端
中控三楼钥匙房|位置描述|搜索旁边的衣服
大金点位|刷新位置|中控二楼
中控二楼|包含物品|怀表
中控二楼|位置描述|打开保险箱
3DM小编|整理|三角洲行动航天基地大金点位刷新位置一览
三角洲行动攻略|发布平台|3DM手游网
本文|内容来源|互联网
