零号大坝地图|共有|22个鸟窝
鸟窝|分布在|水泥厂
鸟窝|分布在|游客中心
鸟窝|分布在|行政楼
鸟窝|分布在|河道
鸟窝|分布在|雷区
数个鸟窝|藏在|草丛
数个鸟窝|藏在|非常规点位
管道内鸟窝|位置|水泥厂内部管道中
进入管道|方式|从楼梯边跳跃至护栏后进入
草丛中鸟窝|位置|水泥厂外围草丛深处
平台上方鸟窝|位置|管道入口处木板下方或平台顶部
地下通道鸟窝|位置|碎木板后进入地下通道
地下通道出口楼梯处鸟窝|位置|水管上
西侧管道鸟窝|位置|水泥厂西边房子后的管道内
进入西侧管道|方式|从高处跳跃进入
屋檐上鸟窝|位置|水泥厂内部屋檐或平台边缘
桥下鸟窝|位置|游客中心桥下草丛或轮胎内
柱子中间鸟窝|位置|养护站四根柱子交汇处
红色铁皮房鸟窝|位置|靠近红色铁皮房墙边或轮胎后方
白色房子角落鸟窝|位置|游客中心左侧白色房子墙角或楼梯下方
叉车下方鸟窝|位置|行政楼左侧黄色叉车尾部下方
集装箱顶部鸟窝|位置|撤离点附近集装箱或大坝前集装箱上
树丛与草堆鸟窝|位置|行政楼墙边草丛、航空箱附近或树下
滑索附近鸟窝|位置|通过滑索到达对面后左转或滑索下方木箱上
大坝顶部鸟窝|位置|破壁进入大坝后金库附近隐蔽位置
白色集装箱鸟窝|位置|河道中央白色集装箱顶部
雷区边缘鸟窝|位置|雷区铁丝网附近或草堆中
雷区边缘鸟窝|注意事项|需贴边走避免触发雷区
撤离点附近鸟窝|位置|撤离点旁水泥墩或石头堆上
管道入口鸟窝|位置|水泥厂外水管中、工地左侧管道内
树后与砖块旁鸟窝|位置|主楼区域树后或砖块堆旁
3DM小编|整理|零号大坝鸟窝位置一览
更多游戏攻略|发布于|3DM手游网
本文内容|来源于|互联网
